nºPartidas,Cosmin,Jugadores,Probabilidad de Piedra,Probabilidad de Papel,Probabilidad de Tijera,Resultado de Partida (cosmin),Último movimiento,Patrones dentro de cada 5 jugadas,Comportamiento tras partida ganada,Comportamiento tras partida perdida,Comportamiento tras partida empatada,Entropia
partida 18,t,s,33.33%,27.78%,38.89%,pierde,t,s-r-s-t-t,N/A,t→t,N/A,1.578
partida 19,s,s,31.58%,31.58%,36.84%,empate,s,r-s-t-t-s,N/A,N/A,t→s,1.585
partida 20,r,r,35.00%,30.00%,35.00%,empate,r,s-t-t-s-r,N/A,N/A,s→r,1.585
partida 21,r,s,38.10%,28.57%,33.33%,gana,r,t-t-s-r-r,N/A,N/A,r→r,1.578
partida 22,r,t,40.91%,27.27%,31.82%,pierde,r,t-s-r-r-r,r→r,N/A,N/A,1.571
partida 23,s,t,39.13%,30.43%,30.43%,gana,s,s-r-r-r-s,N/A,r→s,N/A,1.578
partida 24,r,r,41.67%,29.17%,29.17%,empate,r,r-r-r-s-r,N/A,N/A,s→r,1.565
partida 25,r,s,43.48%,26.09%,30.43%,gana,r,r-r-s-r-r,N/A,N/A,r→r,1.556
partida 26,s,s,41.67%,29.17%,29.17%,empate,s,r-s-r-r-s,N/A,N/A,r→s,1.565
partida 27,t,r,40.00%,28.00%,32.00%,pierde,t,s-r-r-s-t,N/A,r→t,N/A,1.571
partida 28,t,t,38.46%,26.92%,34.62%,empate,t,r-r-s-t-t,N/A,N/A,t→t,1.571
partida 29,r,s,40.00%,26.67%,33.33%,gana,r,r-s-t-t-r,N/A,N/A,t→r,1.571
partida 30,r,r,41.38%,24.14%,34.48%,empate,r,s-t-t-r-r,N/A,N/A,r→r,1.556
partida 31,s,r,40.00%,26.67%,33.33%,gana,s,t-t-r-r-s,N/A,N/A,r→s,1.571
partida 32,r,r,41.38%,24.14%,34.48%,empate,r,t-r-r-s-r,N/A,N/A,s→r,1.556
partida 33,s,t,40.00%,26.67%,33.33%,gana,s,r-r-s-r-s,N/A,N/A,r→s,1.571
partida 34,t,t,38.71%,25.81%,35.48%,empate,t,r-s-r-s-t,N/A,N/A,s→t,1.571
partida 35,s,s,37.50%,28.13%,34.38%,empate,s,s-r-s-t-s,N/A,N/A,t→s,1.578
partida 36,r,t,39.29%,25.00%,35.71%,pierde,r,r-s-t-s-r,N/A,t→r,N/A,1.564
partida 37,s,r,38.10%,28.57%,33.33%,gana,s,s-t-s-r-s,N/A,r→s,N/A,1.578
partida 38,r,s,40.00%,26.67%,33.33%,gana,r,t-s-r-s-r,s→r,N/A,N/A,1.571
partida 39,r,r,41.67%,25.00%,33.33%,empate,r,s-r-s-r-r,N/A,N/A,r→r,1.559
partida 40,r,s,43.24%,21.62%,35.14%,gana,r,r-s-r-r-r,N/A,N/A,r→r,1.524
partida 41,s,t,41.67%,25.00%,33.33%,gana,s,s-r-r-r-s,N/A,N/A,r→s,1.559
partida 42,s,r,40.00%,28.57%,31.43%,gana,s,r-r-r-s-s,s→s,N/A,N/A,1.571
partida 43,t,r,38.46%,28.21%,33.33%,pierde,t,r-r-s-s-t,N/A,r→t,N/A,1.571
partida 44,s,r,37.04%,31.48%,31.48%,gana,s,r-s-s-t-s,N/A,t→s,N/A,1.578
partida 45,t,t,35.71%,30.95%,33.33%,empate,t,s-s-t-s-t,N/A,N/A,s→t,1.585
partida 46,s,r,34.48%,34.48%,31.03%,gana,s,s-t-s-t-s,N/A,N/A,t→s,1.585
partida 47,t,t,33.33%,33.33%,33.33%,empate,t,t-s-t-s-t,N/A,N/A,s→t,1.585
partida 48,r,s,35.14%,32.43%,32.43%,gana,r,s-t-s-t-r,N/A,N/A,t→r,1.585
partida 49,s,r,34.00%,36.00%,30.00%,gana,s,t-s-t-r-s,N/A,N/A,r→s,1.571
partida 50,s,s,33.33%,35.29%,31.37%,empate,s,s-t-r-s-s,N/A,N/A,s→s,1.581
partida 51,t,r,32.69%,34.62%,32.69%,pierde,t,t-r-s-s-t,N/A,s→t,N/A,1.585
partida 52,s,s,32.08%,37.74%,30.19%,empate,s,r-s-s-t-s,N/A,N/A,t→s,1.571
partida 53,r,t,33.96%,35.85%,30.19%,pierde,r,s-s-t-s-r,N/A,t→r,N/A,1.578
partida 54,s,t,33.33%,38.89%,27.78%,gana,s,s-t-s-r-s,N/A,r→s,N/A,1.556
partida 55,r,t,34.78%,37.68%,27.54%,pierde,r,t-s-r-s-r,s→r,N/A,N/A,1.556
partida 56,s,s,34.21%,39.47%,26.32%,empate,s,s-r-s-r-s,N/A,N/A,r→s,1.541
partida 57,r,r,35.71%,37.50%,26.79%,empate,r,r-s-r-s-r,N/A,N/A,s→r,1.549
partida 58,s,s,35.19%,40.74%,24.07%,empate,s,s-r-s-r-s,N/A,N/A,r→s,1.508
partida 59,r,r,36.67%,38.33%,25.00%,empate,r,r-s-r-s-r,N/A,N/A,s→r,1.534
partida 60,t,r,35.85%,37.74%,26.42%,pierde,t,s-r-s-r-t,N/A,s→t,N/A,1.541
partida 61,t,t,35.08%,36.84%,28.07%,empate,t,r-s-r-t-t,N/A,N/A,t→t,1.556
partida 62,t,r,34.38%,35.94%,29.69%,pierde,t,s-r-t-t-t,N/A,t→t,N/A,1.571
partida 63,t,s,33.73%,35.14%,31.13%,pierde,t,r-t-t-t-t,N/A,t→t,N/A,1.578
partida 64,t,s,33.13%,34.38%,32.50%,pierde,t,t-t-t-t-t,N/A,t→t,N/A,1.581
partida 65,s,t,32.56%,37.21%,30.23%,gana,s,t-t-t-t-s,N/A,t→s,N/A,1.578
partida 66,t,r,32.00%,36.36%,31.64%,pierde,t,t-t-t-s-t,s→t,N/A,N/A,1.578
partida 67,r,s,33.33%,35.61%,31.06%,gana,r,t-t-s-t-r,N/A,t→r,N/A,1.581
partida 68,t,r,32.84%,34.85%,32.31%,pierde,t,t-s-t-r-t,r→t,N/A,N/A,1.585
partida 69,s,s,32.39%,37.68%,29.93%,empate,s,s-t-r-t-s,N/A,N/A,t→s,1.571
partida 70,r,s,33.78%,36.49%,29.73%,gana,r,t-r-t-s-r,N/A,N/A,s→r,1.571
partida 71,t,s,33.33%,35.51%,31.16%,pierde,t,r-t-s-r-t,r→t,N/A,N/A,1.581
partida 72,r,s,34.72%,34.72%,30.56%,gana,r,t-s-r-t-r,N/A,t→r,N/A,1.581
partida 73,t,r,34.25%,34.25%,31.51%,pierde,t,s-r-t-r-t,r→t,N/A,N/A,1.585
partida 74,t,r,33.78%,33.78%,32.43%,pierde,t,r-t-r-t-t,N/A,t→t,N/A,1.585
partida 75,s,s,33.33%,36.99%,29.68%,empate,s,t-r-t-t-s,N/A,N/A,t→s,1.578
partida 76,r,t,34.67%,35.62%,29.71%,pierde,r,r-t-t-s-r,N/A,t→r,N/A,1.581
partida 77,s,s,34.21%,38.16%,27.63%,empate,s,t-t-s-r-s,N/A,N/A,r→s,1.556
partida 78,t,s,33.78%,37.84%,28.38%,pierde,t,t-s-r-s-t,N/A,r→t,N/A,1.556
partida 79,r,r,34.62%,37.18%,28.21%,empate,r,s-r-s-t-r,N/A,N/A,t→r,1.564
partida 80,s,t,34.18%,40.51%,25.32%,gana,s,r-s-t-r-s,N/A,N/A,r→s,1.508
partida 81,r,s,35.44%,39.24%,25.32%,gana,r,s-t-r-s-r,s→r,N/A,N/A,1.524
partida 82,s,s,35.00%,41.25%,23.75%,empate,s,t-r-s-r-s,N/A,N/A,r→s,1.479
partida 83,r,t,36.36%,40.00%,23.64%,pierde,r,r-s-r-s-r,N/A,r→r,N/A,1.508
partida 84,t,r,35.94%,39.06%,25.00%,pierde,t,s-r-s-r-t,N/A,s→t,N/A,1.524
partida 85,t,s,35.53%,38.16%,26.32%,pierde,t,r-s-r-t-t,N/A,r→t,N/A,1.541
partida 86,s,s,35.14%,40.54%,24.32%,empate,s,s-r-t-t-s,N/A,N/A,t→s,1.508
partida 87,r,r,36.36%,39.39%,24.24%,empate,r,r-t-t-s-r,N/A,N/A,s→r,1.508
partida 88,s,t,35.96%,42.70%,21.35%,gana,s,t-t-s-r-s,N/A,N/A,r→s,1.427
partida 89,r,s,37.08%,41.57%,21.35%,gana,r,t-s-r-s-r,s→r,N/A,N/A,1.464
partida 90,t,r,36.67%,40.74%,22.59%,pierde,t,s-r-s-r-t,r→t,N/A,N/A,1.496
partida 91,s,s,36.29%,43.82%,19.89%,empate,s,r-s-r-t-s,N/A,N/A,t→s,1.394
partida 92,t,r,35.94%,43.23%,20.83%,pierde,t,s-r-t-s-t,N/A,t→t,N/A,1.427
partida 93,s,r,35.60%,46.15%,18.26%,gana,s,r-t-s-t-s,N/A,t→s,N/A,1.313
partida 94,t,t,35.29%,45.76%,18.95%,empate,t,t-s-t-s-t,N/A,N/A,s→t,1.346
partida 95,t,s,35.00%,45.36%,19.64%,pierde,t,s-t-s-t-t,N/A,s→t,N/A,1.375
partida 96,r,r,36.08%,44.33%,19.59%,empate,r,t-s-t-t-r,N/A,N/A,t→r,1.394
partida 97,t,t,35.77%,44.02%,20.21%,empate,t,s-t-t-r-t,N/A,N/A,r→t,1.423
partida 98,r,s,37.11%,42.27%,20.62%,gana,r,t-t-r-t-r,N/A,N/A,t→r,1.442
partida 99,r,t,38.38%,40.40%,21.21%,pierde,r,t-r-t-r-r,r→r,N/A,N/A,1.464
partida 100,s,t,37.62%,43.56%,18.81%,gana,s,r-t-r-r-s,N/A,r→s,N/A,1.346
partida 101,s,t,37.04%,46.91%,16.05%,gana,s,t-r-r-s-s,s→s,N/A,N/A,1.236
partida 102,t,r,36.52%,46.41%,17.07%,pierde,t,r-r-s-s-t,N/A,s→t,N/A,1.285
partida 103,s,t,36.04%,49.55%,14.41%,gana,s,r-s-s-t-s,N/A,t→s,N/A,1.134
partida 104,r,s,37.50%,48.08%,14.42%,gana,r,s-s-t-s-r,N/A,N/A,s→r,1.175
partida 105,t,s,37.14%,47.62%,15.24%,pierde,t,s-t-s-r-t,r→t,N/A,N/A,1.218
partida 106,s,t,36.79%,50.94%,12.26%,gana,s,t-s-r-t-s,N/A,t→s,N/A,1.018
partida 107,r,r,38.32%,49.53%,12.15%,empate,r,s-r-t-s-r,N/A,N/A,s→r,1.054
partida 108,r,r,39.81%,48.13%,12.07%,empate,r,r-t-s-r-r,N/A,N/A,r→r,1.086
partida 109,s,s,39.45%,51.38%,9.17%,empate,s,t-s-r-r-s,N/A,N/A,r→s,0.877
partida 110,r,t,40.91%,50.00%,9.09%,pierde,r,s-r-r-s-r,N/A,r→r,N/A,0.925
partida 111,t,s,40.54%,49.55%,9.91%,pierde,t,r-r-s-r-t,N/A,s→t,N/A,0.970
partida 112,t,t,40.18%,49.12%,10.71%,empate,t,r-s-r-t-t,N/A,N/A,r→t,1.011
partida 113,t,s,39.82%,48.70%,11.48%,pierde,t,s-r-t-t-t,N/A,t→t,N/A,1.053
partida 114,t,s,39.47%,48.28%,12.25%,pierde,t,r-t-t-t-t,N/A,t→t,N/A,1.093
partida 115,s,s,39.13%,51.30%,9.57%,empate,s,t-t-t-t-s,N/A,N/A,t→s,0.915
partida 116,t,t,38.79%,50.86%,10.34%,empate,t,t-t-t-s-t,N/A,N/A,s→t,0.960
partida 117,r,s,40.17%,49.57%,10.26%,gana,r,t-t-s-t-r,N/A,N/A,t→r,0.984
partida 118,r,s,41.53%,48.31%,10.17%,gana,r,t-s-t-r-r,r→r,N/A,N/A,1.007
partida 119,t,t,41.18%,47.90%,10.92%,empate,t,s-t-r-r-t,N/A,N/A,r→t,1.045
partida 120,s,r,40.83%,51.25%,7.92%,gana,s,t-r-r-t-s,N/A,N/A,t→s,0.803
partida 121,r,r,42.02%,50.42%,7.56%,empate,r,r-r-t-s-r,N/A,N/A,s→r,0.826
partida 122,r,t,43.17%,49.59%,7.24%,pierde,r,r-t-s-r-r,N/A,s→r,N/A,0.848
partida 123,t,s,42.86%,49.18%,8.20%,pierde,t,t-s-r-r-t,N/A,r→t,N/A,0.903
partida 124,s,r,42.55%,52.46%,4.92%,gana,s,s-r-r-t-s,N/A,t→s,N/A,0.619
partida 125,r,t,43.55%,51.61%,4.84%,pierde,r,r-r-t-s-r,s→r,N/A,N/A,0.642
partida 126,t,s,43.20%,51.20%,5.60%,pierde,t,r-t-s-r-t,N/A,s→t,N/A,0.702
partida 127,r,t,44.09%,50.39%,5.51%,pierde,r,t-s-r-t-r,r→r,N/A,N/A,0.721
partida 128,s,s,43.75%,53.13%,3.13%,empate,s,s-r-t-r-s,N/A,N/A,r→s,0.437
partida 129,t,t,43.41%,52.71%,3.88%,empate,t,r-t-r-s-t,N/A,N/A,s→t,0.526
partida 130,s,t,43.08%,55.38%,1.54%,gana,s,t-r-s-t-s,N/A,N/A,t→s,0.241
partida 131,t,s,42.75%,54.96%,2.29%,pierde,t,r-s-t-s-t,s→t,N/A,N/A,0.326
partida 132,t,r,42.42%,54.55%,3.03%,pierde,t,s-t-s-t-t,N/A,s→t,N/A,0.405
partida 133,t,s,42.11%,54.14%,3.76%,pierde,t,t-s-t-t-t,N/A,t→t,N/A,0.480
partida 134,r,t,43.28%,53.36%,3.36%,pierde,r,s-t-t-t-r,N/A,t→r,N/A,0.458
partida 135,s,s,42.96%,56.34%,0.70%,empate,s,t-t-t-r-s,N/A,N/A,r→s,0.116
partida 136,r,r,44.12%,55.15%,0.74%,empate,r,t-t-r-s-r,N/A,N/A,s→r,0.123
partida 137,s,s,43.80%,57.36%,0.00%,empate,s,t-r-s-r-s,N/A,N/A,r→s,0.000
partida 138,t,t,43.48%,56.52%,0.72%,empate,t,r-s-r-s-t,N/A,N/A,s→t,0.120
partida 139,s,s,43.17%,58.99%,0.00%,empate,s,s-r-s-t-s,N/A,N/A,t→s,0.000
partida 140,r,t,44.29%,58.07%,0.00%,pierde,r,r-s-t-s-r,N/A,s→r,N/A,0.000
partida 141,s,t,43.97%,60.64%,0.00%,gana,s,s-t-s-r-s,N/A,N/A,r→s,0.000
partida 142,s,s,43.66%,62.68%,0.00%,empate,s,t-s-r-s-s,N/A,N/A,s→s,0.000
partida 143,s,t,43.36%,65.22%,0.00%,gana,s,s-r-s-s-s,s→s,N/A,N/A,0.000
partida 144,s,s,43.06%,67.36%,0.00%,empate,s,r-s-s-s-s,N/A,N/A,s→s,0.000
partida 145,t,s,42.76%,66.90%,0.69%,pierde,t,s-s-s-s-t,N/A,s→t,N/A,0.114
partida 146,s,t,42.47%,69.86%,0.00%,gana,s,s-s-s-t-s,N/A,t→s,N/A,0.000
partida 147,r,r,43.54%,68.71%,0.00%,empate,r,s-s-t-s-r,N/A,N/A,s→r,0.000
partida 148,s,r,43.24%,71.62%,0.00%,gana,s,s-t-s-r-s,s→s,N/A,N/A,0.000
partida 149,r,r,44.37%,70.53%,0.00%,empate,r,t-s-r-s-r,N/A,N/A,s→r,0.000
partida 150,s,t,44.07%,73.33%,0.00%,gana,s,s-r-s-r-s,N/A,N/A,r→s,0.000
partida 151,r,s,45.03%,72.19%,0.00%,gana,r,r-s-r-s-r,s→r,N/A,N/A,0.000
partida 152,s,s,44.74%,74.67%,0.00%,empate,s,s-r-s-r-s,N/A,N/A,r→s,0.000
partida 153,t,t,44.44%,74.03%,0.65%,empate,t,r-s-r-s-t,N/A,N/A,s→t,0.108
partida 154,s,r,44.16%,76.62%,0.00%,gana,s,s-r-s-t-s,N/A,N/A,t→s,0.000
partida 155,r,t,45.16%,75.81%,0.00%,pierde,r,r-s-t-s-r,s→r,N/A,N/A,0.000
partida 156,t,t,44.87%,75.00%,0.64%,empate,t,s-t-s-r-t,N/A,N/A,r→t,0.106
partida 157,s,r,44.59%,77.70%,0.00%,gana,s,t-s-r-t-s,N/A,N/A,t→s,0.000
partida 158,t,s,44.30%,77.22%,0.63%,pierde,t,s-r-t-s-t,s→t,N/A,N/A,0.105
partida 159,s,r,44.03%,79.87%,0.00%,gana,s,r-t-s-t-s,N/A,t→s,N/A,0.000
partida 160,t,s,43.75%,79.38%,0.63%,pierde,t,t-s-t-s-t,s→t,N/A,N/A,0.104
partida 161,s,t,43.48%,82.61%,0.00%,gana,s,s-t-s-t-s,N/A,t→s,N/A,0.000
partida 162,s,s,43.21%,84.57%,0.00%,empate,s,t-s-t-s-s,N/A,N/A,s→s,0.000
partida 163,r,t,44.20%,84.05%,0.00%,pierde,r,s-t-s-s-r,N/A,s→r,N/A,0.000
partida 164,s,t,43.93%,86.42%,0.00%,gana,s,t-s-s-r-s,N/A,r→s,N/A,0.000
partida 165,r,t,44.85%,85.90%,0.00%,pierde,r,s-s-r-s-r,s→r,N/A,N/A,0.000
partida 166,s,r,44.58%,88.55%,0.00%,gana,s,s-r-s-r-s,N/A,N/A,r→s,0.000
partida 167,t,r,44.31%,88.32%,0.60%,pierde,t,r-s-r-s-t,s→t,N/A,N/A,0.099
partida 168,t,t,44.05%,87.50%,0.60%,empate,t,s-r-s-t-t,N/A,N/A,t→t,0.099
partida 169,t,t,43.79%,86.69%,0.60%,empate,t,r-s-t-t-t,N/A,N/A,t→t,0.099
partida 170,s,r,43.53%,89.94%,0.00%,gana,s,s-t-t-t-s,N/A,N/A,t→s,0.000
partida 171,t,s,43.27%,89.94%,0.58%,pierde,t,t-t-t-s-t,s→t,N/A,N/A,0.097
partida 172,s,r,43.02%,92.44%,0.00%,gana,s,t-t-s-t-s,N/A,t→s,N/A,0.000
partida 173,t,t,42.77%,92.20%,0.58%,empate,t,t-s-t-s-t,N/A,N/A,s→t,0.096
partida 174,s,r,42.53%,94.83%,0.00%,gana,s,s-t-s-t-s,N/A,N/A,t→s,0.000
partida 175,r,s,43.68%,94.25%,0.00%,gana,r,t-s-t-s-r,s→r,N/A,N/A,0.000
partida 176,s,t,43.43%,96.59%,0.00%,gana,s,s-t-s-r-s,N/A,N/A,r→s,0.000
partida 177,r,t,44.44%,96.02%,0.00%,pierde,r,t-s-r-s-r,s→r,N/A,N/A,0.000
partida 178,s,s,44.20%,97.80%,0.00%,empate,s,s-r-s-r-s,N/A,N/A,r→s,0.000
partida 179,t,r,43.96%,97.80%,0.55%,pierde,t,r-s-r-s-t,N/A,s→t,N/A,0.091
partida 180,s,s,43.72%,99.45%,0.00%,empate,s,s-r-s-t-s,N/A,N/A,t→s,0.000
partida 181,t,t,43.48%,99.45%,0.54%,empate,t,r-s-t-s-t,N/A,N/A,s→t,0.090
partida 182,s,s,43.24%,100.00%,0.00%,empate,s,s-t-s-t-s,N/A,N/A,t→s,0.000
partida 183,r,r,44.26%,100.00%,0.00%,empate,r,t-s-t-s-r,N/A,N/A,s→r,0.000
partida 184,t,t,44.02%,100.00%,0.00%,empate,t,s-t-s-r-t,N/A,N/A,r→t,0.000
partida 185,s,s,43.78%,100.00%,0.00%,empate,s,t-s-r-t-s,N/A,N/A,t→s,0.000
partida 186,t,r,43.55%,100.00%,0.00%,pierde,t,s-r-t-s-t,N/A,t→t,N/A,0.000
partida 187,s,s,43.32%,100.00%,0.00%,empate,s,r-t-s-t-s,N/A,N/A,t→s,0.000
partida 188,r,s,44.27%,100.00%,0.00%,gana,r,t-s-t-s-r,N/A,N/A,s→r,0.000
partida 189,s,t,44.03%,100.00%,0.00%,gana,s,s-t-s-r-s,N/A,N/A,r→s,0.000
partida 190,r,s,44.97%,100.00%,0.00%,gana,r,t-s-r-s-r,s→r,N/A,N/A,0.000
partida 191,s,t,44.74%,100.00%,0.00%,gana,s,s-r-s-r-s,N/A,N/A,r→s,0.000
partida 192,s,t,44.51%,100.00%,0.00%,gana,s,r-s-r-s-s,s→s,N/A,N/A,0.000
partida 193,r,s,45.39%,100.00%,0.00%,gana,r,s-r-s-s-r,N/A,N/A,s→r,0.000
partida 194,s,s,45.16%,100.00%,0.00%,empate,s,r-s-s-r-s,N/A,N/A,r→s,0.000
partida 195,r,r,46.00%,100.00%,0.00%,empate,r,s-s-r-s-r,N/A,N/A,s→r,0.000
partida 196,s,s,45.77%,100.00%,0.00%,empate,s,s-r-s-r-s,N/A,N/A,r→s,0.000
partida 197,t,r,45.55%,100.00%,0.00%,pierde,t,r-s-r-s-t,N/A,r→t,N/A,0.000
partida 198,s,s,45.33%,100.00%,0.00%,empate,s,s-r-s-t-s,N/A,N/A,t→s,0.000
partida 199,t,r,45.11%,100.00%,0.00%,pierde,t,r-s-t-s-t,N/A,t→t,N/A,0.000
partida 200,s,s,44.89%,100.00%,0.00%,empate,s,s-t-s-t-s,N/A,N/A,t→s,0.000
